"y","d","lai","lai.qc"
2000,57,4.1,0
2000,65,4.1,0
2000,73,4.4,0
2000,81,5.2,32
2000,89,4.2,0
2000,97,5.6,32
2000,105,5.7,32
2000,113,5.8,32
2000,121,6.1,32
2000,129,6.2,32
2000,137,6.5,32
2000,145,6.6,32
2000,153,6.5,48
2000,161,6.6,32
2000,169,6.3,40
2000,177,NA,97
2000,185,6.6,32
2000,193,5.7,32
2000,201,NA,97
2000,209,NA,97
2000,233,NA,97
2000,241,NA,113
2000,249,NA,97
2000,257,5.6,32
2000,265,NA,97
2000,273,NA,97
2000,281,NA,97
2000,289,4.9,32
2000,297,3.8,0
2000,305,3.7,0
2000,313,NA,97
2000,321,3.1,0
2000,329,NA,97
2000,337,2.2,0
2000,345,2.4,0
2000,353,2.9,0
2000,361,2.8,0
2001,1,2.8,0
2001,9,2.9,0
2001,17,3.4,0
2001,25,3,0
2001,33,2.6,0
2001,41,3,0
2001,49,4.4,0
2001,57,4,0
2001,65,4,0
2001,73,4.2,0
2001,81,4.1,0
2001,89,4,0
2001,97,5.8,32
2001,105,3.9,0
2001,113,6.1,32
2001,121,5.9,32
2001,129,5.9,32
2001,137,3.6,0
2001,145,6.5,32
2001,153,6.2,48
2001,161,NA,97
2001,185,NA,97
2001,193,6.6,32
2001,201,6,48
2001,209,6.6,32
2001,217,4.8,32
2001,225,6.5,48
2001,233,5.3,32
2001,241,NA,97
2001,249,6.3,32
2001,257,4.2,0
2001,265,5.4,32
2001,273,NA,97
2001,281,5.7,32
2001,289,4.9,32
2001,297,4.3,0
2001,305,4.5,0
2001,313,3.5,0
2001,321,3.2,0
2001,329,NA,97
2001,337,2.9,8
2001,345,2.6,0
2001,353,3.1,0
2001,361,3.1,0
2002,1,2.8,0
2002,9,2.9,0
2002,17,2.8,0
2002,25,3,0
2002,33,2.7,0
2002,41,2.9,0
2002,49,2.4,0
2002,57,3.1,0
2002,65,3.8,0
2002,73,3.4,0
2002,89,4,0
2002,97,3.8,0
2002,105,4.9,32
2002,113,5.6,32
2002,121,6,32
2002,129,6,32
2002,137,6.2,32
2002,145,5.8,32
2002,153,NA,97
2002,161,6.6,32
2002,169,NA,97
2002,177,6.6,32
2002,185,NA,97
2002,193,1.4,0
2002,201,NA,97
2002,209,NA,97
2002,217,6.6,32
2002,225,4.6,0
2002,233,5,0
2002,241,NA,97
2002,249,5.6,32
2002,257,5.9,32
2002,265,NA,97
2002,273,3.8,0
2002,281,NA,97
2002,289,NA,97
2002,297,NA,105
2002,305,3.3,0
2002,313,NA,97
2002,321,NA,97
2002,329,2.2,0
2002,337,2.2,0
2002,345,0.1,0
2002,353,1.2,0
2002,361,2.2,16
2003,1,1.5,16
2003,9,3.3,0
2003,17,5.6,32
2003,25,4.8,32
2003,33,3.1,0
2003,41,2.8,0
2003,49,4.2,0
2003,57,3.9,0
2003,65,3.4,0
2003,73,NA,105
2003,81,4.4,0
2003,89,6.1,48
2003,97,5.6,32
2003,105,6.2,32
2003,113,6.1,32
2003,121,2.4,0
2003,129,6.2,32
2003,137,6,32
2003,145,5.2,32
2003,153,6.5,32
2003,161,5.8,48
2003,169,6.6,32
2003,177,6.5,32
2003,185,NA,97
2003,193,NA,97
2003,201,6.6,32
2003,209,6.5,32
2003,217,NA,113
2003,225,NA,97
2003,233,5.6,48
2003,241,6.6,32
2003,249,NA,97
2003,257,0.5,8
2003,265,5.7,32
2003,273,5.1,32
2003,281,4.2,0
2003,289,4.9,32
2003,297,4.4,0
2003,305,4,32
2003,313,3.1,0
2003,321,2.8,0
2003,329,3.1,16
2003,337,NA,97
2003,345,3,0
2003,353,2.6,0
2003,361,4.5,32
2004,1,4.8,32
2004,9,4.4,32
2004,17,4.8,32
2004,25,2,8
2004,33,3.1,0
2004,41,3.1,0
2004,49,4.6,0
2004,57,4.3,0
2004,65,4.7,0
2004,73,2.7,0
2004,81,4.7,0
2004,89,3.6,0
2004,97,4.8,0
2004,105,5.8,32
2004,113,5.9,32
2004,121,5.7,32
2004,129,6.2,32
2004,137,6.2,32
2004,145,5.2,0
2004,153,6.6,32
2004,161,NA,97
2004,169,6.6,32
2004,177,NA,105
2004,185,6.2,32
2004,193,6.2,32
2004,201,6.6,32
2004,209,6.6,48
2004,217,6.5,32
2004,225,6.5,32
2004,233,6.6,32
2004,241,5.9,32
2004,249,5,32
2004,257,5.1,32
2004,265,5.1,32
2004,273,0.7,0
2004,281,4.2,0
2004,289,4.1,0
2004,297,2.6,0
2004,305,3.7,0
2004,313,2.9,0
2004,321,NA,97
2004,329,2.8,0
2004,337,2.7,0
2004,345,3.3,8
2004,353,3.1,0
2004,361,2.9,0
2005,1,2.2,8
2005,9,2.5,0
2005,17,NA,97
2005,25,2.8,0
2005,33,3.1,0
2005,41,2.5,0
2005,49,2.5,0
2005,57,3.8,0
2005,65,3.9,0
2005,73,3.8,0
2005,81,2.5,0
2005,89,4.9,0
2005,97,5.2,0
2005,105,6.2,32
2005,113,5.6,32
2005,121,6.5,32
2005,129,6.2,32
2005,137,6.2,32
2005,145,6.6,32
2005,153,NA,97
2005,161,6.2,32
2005,169,6.6,32
2005,177,NA,105
2005,185,6.3,32
2005,193,5.3,40
2005,201,5.9,32
2005,209,5.5,32
2005,217,6.6,32
2005,225,6.3,48
2005,233,5,40
2005,241,6.2,32
2005,249,5.9,32
2005,257,5.6,32
2005,265,3,0
2005,273,4.7,0
2005,281,NA,97
2005,289,5.1,32
2005,297,3.9,0
2005,305,2.9,0
2005,313,2.9,0
2005,321,2.9,0
2005,329,2.8,0
2005,337,2.3,0
2005,345,2.7,0
2005,353,2.8,0
2005,361,2.8,0
2006,1,2.9,0
2006,9,2.5,0
2006,17,2.6,0
2006,25,3.1,0
2006,33,2.2,0
2006,41,2.7,0
2006,49,2.3,0
2006,57,3.7,0
2006,65,4.2,0
2006,73,4.1,0
2006,81,4.7,0
2006,89,4.1,0
2006,97,5,0
2006,105,6.2,32
2006,113,6.2,32
2006,121,5.9,32
2006,129,4.7,0
2006,137,5.9,32
2006,145,6.2,32
2006,153,6.6,32
2006,161,6.6,32
2006,169,6.2,32
2006,177,6.2,32
2006,185,6.2,32
2006,193,6.5,32
2006,201,6.6,32
2006,209,6.6,32
2006,217,6.5,32
2006,225,6.2,32
2006,233,6.5,32
2006,241,6.2,32
2006,249,6.2,32
2006,257,5.7,32
2006,265,4.5,0
2006,273,5.5,32
2006,281,4.2,0
2006,289,4.4,0
2006,297,5.1,40
2006,305,3,0
2006,313,2.9,0
2006,321,NA,97
2006,329,3.1,0
2006,337,3,0
2006,345,4.1,32
2006,353,3,0
2006,361,4.6,32
2007,1,3.2,0
2007,9,3.2,0
2007,17,3.7,0
2007,25,3.4,0
2007,33,4.5,32
2007,41,3.4,0
2007,49,3.8,0
2007,57,4.5,0
2007,65,2.7,0
2007,73,4.2,0
2007,81,4.9,32
2007,89,5.7,32
2007,97,5.6,32
2007,105,5.6,32
2007,113,4.8,32
2007,121,6.2,32
2007,129,5.6,32
2007,137,6.6,32
2007,145,6.6,32
2007,153,6.6,32
2007,161,6.6,32
2007,169,6.6,32
2007,177,6.6,48
2007,185,6.5,32
2007,193,NA,97
2007,201,6.2,32
2007,209,5.4,32
2007,217,NA,97
2007,225,6.3,32
2007,233,6.6,32
2007,241,NA,97
2007,249,6.2,32
2007,257,4.2,0
2007,265,5.5,32
2007,273,5.7,32
2007,281,4.8,0
2007,289,4.3,0
2007,297,NA,97
2007,305,2.7,8
2007,313,3.6,0
2007,321,NA,97
2007,329,1.9,16
2007,337,2.8,0
2007,345,2.8,0
2007,353,2.7,0
2007,361,3,0
2008,1,2.9,0
2008,9,3,0
2008,17,2.8,0
2008,25,2.8,0
2008,33,3.1,0
2008,41,2.7,0
2008,49,4.3,0
2008,57,3.9,0
2008,65,4.1,0
2008,73,4.1,0
2008,81,4.3,0
2008,89,1.8,0
2008,97,5,0
2008,105,5.6,32
2008,113,5.9,32
2008,121,6.2,32
2008,129,6.2,32
2008,137,6.2,32
2008,145,6.5,32
2008,153,6.2,32
2008,161,6.6,32
2008,169,6.6,32
2008,177,NA,97
2008,185,6.2,32
2008,193,6.2,32
2008,201,6.2,32
2008,209,6.6,32
2008,217,6.6,32
2008,225,6.2,32
2008,233,6.2,32
2008,241,6,32
2008,249,NA,97
2008,257,5,48
2008,265,NA,97
2008,273,4.9,32
2008,281,5,32
2008,289,4.3,0
2008,297,3.9,0
2008,305,2.9,0
2008,313,3.1,0
2008,321,2.6,0
2008,329,2.8,0
2008,337,2.5,0
2008,345,2.3,0
2008,353,NA,105
2008,361,2.6,0
2009,1,NA,97
2009,9,2.5,0
2009,17,2.4,0
2009,25,2.7,0
2009,33,2.5,0
2009,41,2.5,0
2009,49,2.5,0
2009,57,3.9,0
2009,65,4.2,0
2009,73,3.9,0
2009,81,4.1,0
2009,89,4.4,0
2009,97,5.1,0
2009,105,5.2,32
2009,113,5.6,32
2009,121,5.5,32
2009,129,6.2,32
2009,137,5.2,32
2009,145,6.5,32
2009,153,6.1,32
2009,161,6.2,32
2009,169,NA,97
2009,177,6.6,32
2009,185,6.6,32
2009,193,6.3,32
2009,201,6.2,32
2009,209,6.5,32
2009,217,6.6,48
2009,225,5.6,32
2009,233,NA,97
2009,241,5.9,32
2009,249,5.3,32
2009,257,5,32
2009,265,4,0
2009,273,2.2,16
2009,281,3.3,0
2009,289,3.8,0
2009,297,NA,105
2009,305,2.4,0
2009,313,2.1,0
2009,321,NA,105
2009,329,1.9,0
2009,337,2.2,0
2009,345,1.9,0
2009,353,2.3,0
2009,361,2.2,0
2010,1,2.4,0
2010,9,2.6,0
2010,17,2.4,0
2010,25,2.3,0
2010,33,2.3,0
2010,41,2.3,0
2010,49,1.6,0
2010,57,2,0
2010,65,1.8,0
2010,73,3.6,0
2010,81,1.4,8
2010,89,4.2,0
2010,97,5.6,32
2010,105,3.1,0
2010,113,5.9,32
2010,121,5.6,32
2010,129,3.7,0
2010,137,NA,97
2010,145,6.2,32
2010,153,5.9,48
2010,161,6.5,48
2010,169,6.2,32
2010,177,6.2,32
2010,185,6.2,32
2010,193,6.6,32
2010,201,6.2,32
2010,209,6.6,32
2010,217,5.9,32
2010,225,6.6,32
2010,233,5.7,32
2010,241,6.5,32
2010,249,6,32
2010,257,5.5,32
2010,265,5.3,32
2010,273,5.5,32
2010,281,4.4,0
2010,289,4,0
2010,297,2.8,0
2010,305,2.6,0
2010,313,2.4,0
2010,321,2.5,0
2010,329,2.2,0
2010,337,2.5,0
2010,345,2.1,0
2010,353,2.4,0
2010,361,NA,97
2011,1,NA,97
2011,9,2.3,0
2011,17,1.3,0
2011,25,2.2,0
2011,33,2.5,0
2011,41,2.5,0
2011,49,2.8,0
2011,57,2.6,0
2011,65,2.1,0
2011,73,1.5,0
2011,81,4.2,0
2011,89,2.5,0
2011,97,5.8,32
2011,105,5,0
2011,113,6.1,32
2011,121,6.6,32
2011,129,5.9,32
2011,137,6.6,32
2011,145,6.6,32
2011,153,6.2,32
2011,161,6.2,32
2011,169,6.2,32
2011,177,6.6,32
2011,185,6.2,32
2011,193,6.6,32
2011,201,5.9,32
2011,209,6.2,32
2011,217,6,32
2011,225,6.2,32
2011,233,1.1,0
2011,241,5.8,32
2011,249,5.6,32
2011,257,4.6,0
2011,265,4.2,0
2011,273,4.4,0
2011,281,4.1,0
2011,289,3.8,0
2011,297,3.8,0
2011,305,2.5,0
2011,313,2.4,0
2011,321,2.4,0
2011,329,2.4,0
2011,337,2.3,0
2011,345,2,0
2011,353,2.4,0
2011,361,2.5,0
2012,1,2.9,0
2012,9,2.5,0
2012,17,2.2,0
2012,25,2.5,0
2012,33,2.6,0
2012,41,2.4,0
2012,49,2.1,0
2012,57,3.7,0
2012,65,3.3,0
2012,73,2.7,0
2012,81,3.9,0
2012,89,4.3,0
2012,97,5.6,32
2012,105,6.6,32
2012,113,5.6,32
2012,121,6.5,32
2012,129,4.6,0
2012,137,5.9,32
2012,145,6.1,32
2012,153,6.5,32
2012,161,NA,97
2012,169,6.6,32
2012,177,6.6,32
2012,185,6.6,32
2012,193,6.6,48
2012,201,6.6,32
2012,209,6.6,32
2012,217,3.5,0
2012,225,6.2,32
2012,233,6.2,32
2012,241,6.2,32
2012,249,6.2,32
2012,257,NA,113
2012,265,5.4,32
2012,273,NA,97
2012,281,4.3,0
2012,289,4.1,0
2012,297,4.1,0
2012,305,2.6,0
2012,313,2.7,0
2012,321,2.7,0
2012,329,2.5,0
2012,337,2.4,0
2012,345,2.5,0
2012,353,2.2,0
2012,361,2.5,0
2013,1,2.9,0
2013,9,2,0
2013,17,2.2,0
2013,25,2.5,0
2013,33,3.2,8
2013,41,2.3,0
2013,49,2.3,0
2013,57,3.8,0
2013,65,3.9,0
2013,73,2.7,0
2013,81,3.3,0
2013,89,3.8,0
2013,97,3.3,0
2013,105,6.3,48
2013,113,6.2,32
2013,121,6.6,32
2013,129,6.6,32
2013,137,6.6,32
2013,145,6.2,32
2013,153,NA,113
2013,161,6.6,32
2013,169,6.6,32
2013,177,NA,97
2013,185,6.6,32
2013,193,5.3,32
2013,201,5.8,32
2013,209,6.6,32
2013,217,6.5,32
2013,225,NA,113
2013,233,6.6,32
2013,241,3.2,0
2013,249,6.2,32
2013,257,5.6,32
2013,265,5.6,32
2013,273,5.1,32
2013,281,3.3,0
2013,289,NA,97
2013,297,4,0
2013,305,2.5,0
2013,313,2.5,0
2013,321,NA,97
2013,329,2.5,0
2013,337,NA,97
2013,345,2.2,0
2013,353,2.7,0
2013,361,2.8,0
2014,1,2.3,0
2014,9,2.4,0
2014,17,2.7,0
2014,25,3.4,0
2014,33,NA,97
2014,41,2.5,0
2014,49,3.7,0
2014,57,2.1,0
2014,65,3.2,0
2014,73,3.8,0
2014,81,3.3,0
2014,89,3.4,0
2014,97,3.1,0
2014,105,5.9,32
2014,113,6.2,32
2014,121,6.2,32
2014,129,6.5,32
2014,137,6.6,32
2014,145,6.3,32
2014,153,6.2,32
2014,161,6.6,32
2014,169,6.6,32
2014,177,3.6,0
2014,185,6.6,32
2014,193,6.6,32
2014,201,NA,97
2014,209,NA,97
2014,217,NA,105
2014,225,5.9,32
2014,233,6.2,32
2014,241,6,32
2014,249,5.9,48
2014,257,5.8,32
2014,265,NA,97
2014,273,4.5,0
2014,281,4.1,0
2014,289,4.1,0
2014,297,5.1,32
2014,305,3.5,0
2014,313,2.5,0
2014,321,2.6,0
2014,329,2.4,0
2014,337,NA,97
2014,345,2.6,0
2014,353,NA,97
2014,361,2.8,0
2015,1,2.4,0
